gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
018312,91200810,15feb2018,2018,16084,USFD,1.0849204,0.99689394,0.06361834,0.068185672,0.081550643,2018q1,,,,,,,
018312,91200810,08may2018,2018,16084,USFD,0.98565477,1.0220675,-0.006863813,0.008955522,0.007405686,2018q2,,,,,,,
018312,91200810,30jul2018,2018,16084,USFD,0.83094901,1.003417,-0.17789227,-0.15777747,-0.16621166,2018q3,,,,,,,
018312,91200810,06nov2018,2018,16084,USFD,1.1243423,0.98453802,0.060512487,0.055447359,0.1069578,2018q4,,,,,,,
018312,91200810,12feb2019,2019,16084,USFD,0.96920866,1.0223409,-0.007494116,0.007335814,-0.009138355,2019q1,,,,,,,
018312,91200810,07may2019,2019,16084,USFD,1.0558223,0.99820554,0.084493935,0.066908568,0.053927649,2019q2,,,,,,,
018312,91200810,06aug2019,2019,16084,USFD,1.0672121,1.020599,0.1264181,0.13460156,0.089195713,2019q3,,,,,,,
018312,91200810,05nov2019,2019,16084,USFD,1.0162355,0.99371403,-0.040595293,0.00080387,0.009847398,2019q4,,,,,,,
018312,91200810,11feb2020,2020,16084,USFD,0.97033352,1.0137606,-0.017516317,-0.01737475,-0.016314197,2020q1,,,,,,,
018312,91200810,05may2020,2020,16084,USFD,0.93609649,0.97666031,-0.030883903,-0.068079926,-0.08575169,2020q2,,,,,,,
018312,91200810,04aug2020,2020,16084,USFD,1.0730066,1.0049276,0.11630364,0.059360232,0.078294016,2020q3,,,,,,,
018312,91200810,02nov2020,2020,16084,USFD,1.0132729,1.0563042,0.03759709,0.069710478,0.070324436,2020q4,,,,,,,
018312,91200810,16feb2021,2021,16084,USFD,0.97672582,0.97983748,0.002358555,-0.035353087,-0.042967439,2021q1,,,,,,,
018312,91200810,10may2021,2021,16084,USFD,0.98541212,0.99062121,-0.028822411,-0.021592844,-0.023829857,2021q2,,,,,,,
018312,91200810,09aug2021,2021,16084,USFD,0.99336845,1.0238376,0.034838453,0.03226148,0.017047955,2021q3,,,,,,,
018312,91200810,08nov2021,2021,16084,USFD,0.94355458,0.98067176,-0.049695473,-0.039116107,-0.074682713,2021q4,,,,,,,
018312,91200810,17feb2022,2022,16084,USFD,1.0105467,0.99723113,0.024707738,0.01754404,0.007748683,2022q1,,,,,,,
018312,91200810,21apr2022,2022,16084,USFD,1.0351925,1.0224712,0.091895461,0.070154339,0.058454454,2022q2,,,,,,,
018312,91200810,11aug2022,2022,16084,USFD,1.0057971,1.0074662,-0.003884281,0.000530185,0.01330665,2022q3,,,,,,,
018312,91200810,10nov2022,2022,16084,USFD,1.0490186,1.0351657,0.08074297,0.084919229,0.085907951,2022q4,,,,,,,
018312,91200810,16feb2023,2023,16084,USFD,1.0487,1.0376769,0.10321642,0.089605108,0.08821173,2023q1,,,,,,,
018312,91200810,11may2023,2023,16084,USFD,1.0526586,1.0319712,0.052876607,0.061532367,0.086313277,2023q2,,,,,,,
018312,91200810,10aug2023,2023,16084,USFD,0.97012746,1.0030997,-0.038782917,-0.015727663,-0.026865445,2023q3,,,,,,,
018312,91200810,09nov2023,2023,16084,USFD,1.0135542,1.0153381,0.015374594,0.015439416,0.029100245,2023q4,,,,,,,
018312,91200810,15feb2024,2024,16084,USFD,1.0262318,1.0255079,0.066272251,0.051396657,0.052408796,2024q1,,,,,,,
018312,91200810,09may2024,2024,16084,USFD,1.0403208,0.99945021,0.035026498,0.046397857,0.03974884,2024q2,,,,,,,
018312,91200810,08aug2024,2024,16084,USFD,0.98132938,1.0098555,0.010243575,-0.008604187,-0.008999107,2024q3,,,,,,,
