gvkey,CUSIP,ticker,CIK,CoName,cik_source
43889,05330T20,AMIX,1617867.0,Autonomix Medical Inc,cusip_link
34330,04546L10,AMK,1591587.0,AssetMark Financial Holdings Inc,cusip_link
110039,03165210,AMKR,1047127.0,AMKOR TECHNOLOGY INC,cusip_link
24843,03234610,AMLN,881464.0,AMYLIN PHARMACEUTICALS INC,cusip_link
40470,03237H10,AMLX,1658551.0,Amylyx Pharmaceuticals Inc,cusip_link
138741,02744M10,AMMD,1114200.0,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,cusip_link
1593,03071010,AMN,790730.0,AMERON INTERNATIONAL CORP,cusip_link
5520,01933010,AMOT,46129.0,ALLIED MOTION TECHNOLOGIES INC,cusip_link
184465,03209T30,AMPE,,,not_found
17396,03211Q20,AMPG,1518461.0,AmpliTech Group Inc,cusip_link
20659,03209R10,AMPH,1297184.0,AMPHASTAR PHARMACEUTICALS INC,cusip_link
1611,03201570,AMPL,731859.0,AMPAL-AMERICAN ISRAEL CORP,cusip_link
39555,03213A10,AMPL,1866692.0,Amplitude Inc,cusip_link
37355,02217A10,AMPS,1828723.0,Altus Power Inc,cusip_link
40636,03214Q10,AMPX,1899287.0,Amprius Technologies Inc,cusip_link
1045,02376R10,AMR,1704715.0,"Alpha Metallurgical Resources, Inc.",ticker_fallback
185128,02361E10,AMRC,1488139.0,AMERESCO INC,cusip_link
118081,01242310,AMRI,1065087.0,ALBANY MOLECULAR RESEARCH INC,cusip_link
19172,00181T10,AMRK,1591588.0,A-Mark Precious Metals Inc,cusip_link
184717,03236M20,AMRS,1365916.0,AMYRIS INC,cusip_link
18888,03168L10,AMRX,1723128.0,Amneal Pharmaceuticals Inc,cusip_link
1559,02959510,AMS,744825.0,AMERICAN SHARED HOSPITAL SERVICES,cusip_link
24795,03011120,AMSC,880807.0,AMERICAN SUPERCONDUCTOR CORP /DE/,cusip_link
65967,29414D10,AMSG,1678531.0,Envision Healthcare Corp,cusip_link
36863,03109420,AMST,1807166.0,Amesite Inc.,ticker_fallback
1562,02968310,AMSWA,713425.0,AMERICAN SOFTWARE INC,cusip_link
